(0, 1, 0)	2	0	108975	13900	15	15
(1, 0, 0)	2	0	232062	77728	15	15
(0, 2, 0)	2	0	106943	28347	16	16
(2, 0, 0)	2	0	188670	114436	19	19
(0, 3, 0)	2	0	148741	409426	21	21
(3, 0, 0)	2	0	236570	84243	14	14
(0, 4, 0)	2	0	107980	1044	15	15
(4, 0, 0)	2	0	95230	13136	11	11
(0, 5, 0)	2	0	114869	372192	17	17
(5, 0, 0)	2	0	229858	8721	10	10
(0, 6, 0)	2	0	108843	43590	15	15
(6, 0, 0)	2	0	506806	109153	20	20
(0, 7, 0)	1	1	152224	564425	17	16
(7, 0, 0)	2	0	215158	12966	11	11
(0, 8, 0)	2	0	114099	228399	17	17
(8, 0, 0)	2	0	77516	37126	9	9
(0, 9, 0)	2	0	107335	15736	16	16
(9, 0, 0)	2	0	717807	21559	14	14
(1, 2, 0)	1	0	480091	649583	32	31
(2, 1, 0)	2	0	170184	167945	17	17
(1, 3, 0)	1	1	521318	836370	36	35
(3, 1, 0)	2	0	238224	149841	14	14
(1, 4, 0)	2	0	227162	179793	17	17
(4, 1, 0)	2	0	95189	53525	16	16
(1, 5, 0)	1	0	323301	694799	24	23
(5, 1, 0)	2	0	238982	35377	13	13
(1, 6, 0)	1	0	576402	916536	47	46
(6, 1, 0)	2	0	774670	537880	38	38
(1, 7, 0)	1	0	100028	413837	23	22
(7, 1, 0)	2	0	176523	53981	12	12
(1, 8, 0)	1	0	223235	475412	28	27
(8, 1, 0)	2	0	76421	24330	9	9
(1, 9, 0)	1	0	163622	627724	13	12
(9, 1, 0)	2	0	674508	71937	15	15
(2, 3, 0)	1	0	538307	701867	30	29
(3, 2, 0)	2	0	241196	186695	14	14
(2, 4, 0)	2	0	147758	55708	16	16
(4, 2, 0)	2	0	108850	62399	13	13
(2, 5, 0)	2	0	239996	410923	20	20
(5, 2, 0)	1	0	412263	101121	17	16
(2, 6, 0)	2	0	171595	53360	16	16
(6, 2, 0)	1	0	588234	599373	36	35
(2, 7, 0)	1	0	226236	414159	19	18
(7, 2, 0)	2	0	224261	59538	13	13
(2, 8, 0)	1	0	460580	472797	26	25
(8, 2, 0)	2	0	92726	59412	11	11
(2, 9, 0)	1	0	106725	551771	12	11
(9, 2, 0)	2	0	702101	160427	14	14
(3, 4, 0)	2	0	238575	55684	15	15
(4, 3, 0)	2	0	90078	84327	12	12
