(0, 1, 0)	1	0	61580	53720	10	9
(1, 0, 0)	2	0	393673	570958	27	27
(0, 2, 0)	1	0	253265	699725	24	23
(2, 0, 0)	2	0	906916	710296	42	42
(0, 3, 0)	1	0	95329	170551	17	16
(3, 0, 0)	1	0	551777	702453	34	33
(0, 4, 0)	1	0	284793	458303	24	23
(4, 0, 0)	2	0	401047	326401	23	23
(0, 5, 0)	1	0	134709	172277	16	15
(5, 0, 0)	2	0	388072	679671	31	31
(0, 6, 0)	1	0	91584	209238	14	13
(6, 0, 0)	2	0	30260	584	10	10
(0, 7, 0)	1	0	138064	109226	22	21
(7, 0, 0)	2	0	202301	334091	24	24
(0, 8, 0)	1	0	64099	349742	7	6
(8, 0, 0)	1	0	722414	829475	38	37
(0, 9, 0)	1	0	452261	671679	32	31
(9, 0, 0)	1	0	423578	807633	42	41
(0, 10, 0)	1	0	84883	144419	17	16
(10, 0, 0)	2	0	264822	124044	16	16
(0, 11, 0)	1	0	53090	197392	10	9
(11, 0, 0)	2	0	204424	64253	15	15
(1, 2, 0)	2	0	305958	564284	23	23
(2, 1, 0)	1	0	788163	469714	35	34
(1, 3, 0)	2	0	633821	704744	42	42
(3, 1, 0)	1	0	657102	723236	35	34
(1, 4, 0)	1	0	127163	374831	21	20
(4, 1, 0)	0	0	975593	993326	108	107
(1, 5, 0)	1	0	141569	163147	15	14
(5, 1, 0)	2	0	307560	468642	33	33
(1, 6, 0)	1	0	85890	210236	18	17
(6, 1, 0)	2	0	30665	1408	11	11
(1, 7, 0)	1	0	524751	304951	29	28
(7, 1, 0)	1	0	29322	65688	11	10
(1, 8, 0)	2	0	850252	836702	47	47
(8, 1, 0)	1	0	733375	686191	39	38
(1, 9, 0)	1	0	85328	117106	19	18
(9, 1, 0)	1	0	71011	57042	14	13
(1, 10, 0)	1	0	61364	145253	20	19
(10, 1, 0)	2	0	407261	353622	28	28
(1, 11, 0)	1	0	55262	215465	12	11
(11, 1, 0)	2	0	309765	42425	12	12
(2, 3, 0)	1	0	617186	535394	28	27
(3, 2, 0)	2	0	586178	768078	31	31
(2, 4, 0)	1	0	574592	347361	17	16
(4, 2, 0)	2	0	328500	524370	18	18
(2, 5, 0)	1	0	812013	346593	33	32
(5, 2, 0)	2	0	181631	484656	20	20
(2, 6, 0)	1	0	540804	455814	25	24
