(0, 1, 0)	1	0	307307	522583	27	26
(1, 0, 0)	2	1	298236	284663	24	24
(0, 2, 0)	1	0	276505	169636	16	15
(2, 0, 0)	2	0	381121	398111	30	30
(0, 3, 0)	1	0	69186	208931	21	20
(3, 0, 0)	2	0	510509	79307	17	17
(0, 4, 0)	1	0	79546	253786	12	11
(4, 0, 0)	2	0	350527	253342	14	14
(0, 5, 0)	1	0	69997	271350	17	16
(5, 0, 0)	2	0	157271	44997	12	12
(0, 6, 0)	1	0	208354	324681	21	20
(6, 0, 0)	2	0	308045	191294	15	15
(0, 7, 0)	1	0	129238	457723	13	12
(7, 0, 0)	2	0	561339	7316	15	15
(0, 8, 0)	2	0	318899	160600	17	17
(8, 0, 0)	2	0	880970	544262	55	55
(0, 9, 0)	1	0	167200	367845	18	17
(9, 0, 0)	2	0	480365	182141	21	21
(0, 10, 0)	1	0	68075	121973	15	14
(10, 0, 0)	0	0	997317	990671	96	96
(1, 2, 0)	2	0	548770	222133	31	31
(2, 1, 0)	1	0	233794	578690	26	25
(1, 3, 0)	2	0	547315	689637	33	33
(3, 1, 0)	2	1	379840	212251	12	12
(1, 4, 0)	1	0	553156	649262	26	25
(4, 1, 0)	1	0	578085	430872	25	24
(1, 5, 0)	1	0	379000	582749	26	25
(5, 1, 0)	2	1	323273	171737	13	13
(1, 6, 0)	1	0	386928	268794	21	20
(6, 1, 0)	2	1	245033	202436	9	9
(1, 7, 0)	1	0	162943	513301	14	13
(7, 1, 0)	2	0	421101	38285	7	7
(1, 8, 0)	2	1	355797	158107	23	23
(8, 1, 0)	1	0	230868	323630	18	17
(1, 9, 0)	1	0	589699	873413	45	44
(9, 1, 0)	2	0	529248	324730	21	21
(1, 10, 0)	2	1	333637	388712	26	26
(10, 1, 0)	2	0	164976	172625	18	18
(2, 3, 0)	2	1	509887	840779	38	38
(3, 2, 0)	2	0	398169	75366	20	20
(2, 4, 0)	1	0	183629	568053	18	17
(4, 2, 0)	2	0	528032	115154	15	15
(2, 5, 0)	0	0	720498	998615	96	96
(5, 2, 0)	1	0	655127	110786	20	19
(2, 6, 0)	2	1	124965	260639	12	12
(6, 2, 0)	2	0	298269	90780	15	15
(2, 7, 0)	1	0	58160	513722	13	12
(7, 2, 0)	2	0	563046	18198	15	15
(2, 8, 0)	2	0	246722	152734	21	21
(8, 2, 0)	1	0	326641	256831	26	25
(2, 9, 0)	1	0	165940	395924	18	17
(9, 2, 0)	2	0	556834	145402	22	22
(2, 10, 0)	2	0	391493	609478	32	32
(10, 2, 0)	1	0	239360	87582	21	20
(3, 4, 0)	1	0	675505	847518	30	29
(4, 3, 0)	2	1	694566	701752	28	28
(3, 5, 0)	1	0	604513	625153	22	21
(5, 3, 0)	2	0	342289	211785	13	13
(3, 6, 0)	1	0	549192	429890	25	24
(6, 3, 0)	2	0	278896	282059	15	15
(3, 7, 0)	1	0	605595	776780	22	21
