(0, 1, 0)	2	0	586487	282815	27	27
(1, 0, 0)	2	0	390549	99969	20	20
(0, 2, 0)	1	0	608840	459803	33	32
(2, 0, 0)	2	0	211932	74170	18	18
(0, 3, 0)	1	0	311852	821459	30	29
(3, 0, 0)	2	0	635738	154848	24	24
(0, 4, 0)	2	0	837710	822717	67	67
(4, 0, 0)	2	0	299017	71640	18	18
(0, 5, 0)	1	0	472663	639485	35	34
(5, 0, 0)	2	0	448971	258673	25	25
(0, 6, 0)	1	0	803332	860760	44	43
(6, 0, 0)	2	0	632413	179667	23	23
(0, 7, 0)	1	0	54144	84970	6	5
(7, 0, 0)	2	0	103746	49349	10	10
(0, 8, 0)	2	0	506606	677430	30	30
(8, 0, 0)	2	0	560725	132120	13	13
(0, 9, 0)	2	0	699596	794619	44	44
(9, 0, 0)	2	0	621735	125970	17	17
(0, 10, 0)	1	0	273130	197756	20	19
(10, 0, 0)	2	0	339317	255677	29	29
(0, 11, 0)	1	0	267728	335458	27	26
(11, 0, 0)	2	0	295886	137468	24	24
(1, 2, 0)	1	0	287618	279720	24	23
(2, 1, 0)	2	0	336961	122395	19	19
(1, 3, 0)	2	0	809872	978008	59	59
(3, 1, 0)	2	0	834808	427447	27	27
(1, 4, 0)	2	0	660025	661969	36	36
(4, 1, 0)	2	0	301189	114619	20	20
(1, 5, 0)	2	0	745483	614328	34	34
(5, 1, 0)	2	0	639854	418694	35	35
(1, 6, 0)	1	0	354471	596111	27	26
(6, 1, 0)	2	0	639593	276464	17	17
(1, 7, 0)	1	0	37219	84637	6	5
(7, 1, 0)	2	0	114860	57732	14	14
(1, 8, 0)	2	0	337038	599139	23	23
(8, 1, 0)	2	0	894611	569418	40	40
(1, 9, 0)	2	0	868260	826607	59	59
(9, 1, 0)	2	0	621669	85962	17	17
(1, 10, 0)	1	0	381971	308902	28	27
(10, 1, 0)	2	0	299843	183947	28	28
(1, 11, 0)	1	0	349171	359227	29	28
(11, 1, 0)	2	0	192188	180987	24	24
(2, 3, 0)	2	0	288524	418784	16	16
(3, 2, 0)	2	0	857547	498789	28	28
(2, 4, 0)	2	0	854418	738941	44	44
(4, 2, 0)	2	0	311859	82601	20	20
(2, 5, 0)	1	0	330019	377775	22	21
(5, 2, 0)	2	0	693797	450581	35	35
(2, 6, 0)	1	0	195740	423708	18	17
(6, 2, 0)	2	0	549166	301054	18	18
(2, 7, 0)	1	0	40294	91705	6	5
(7, 2, 0)	2	0	115318	47961	13	13
(2, 8, 0)	2	0	354680	557900	19	19
(8, 2, 0)	2	0	776641	341221	27	27
(2, 9, 0)	2	0	407621	652329	22	22
(9, 2, 0)	2	0	549564	44658	13	13
(2, 10, 0)	1	0	341186	303341	27	26
(10, 2, 0)	2	0	435023	615078	33	33
(2, 11, 0)	1	0	283114	387383	29	28
(11, 2, 0)	2	0	213870	173225	25	25
(3, 4, 0)	2	0	779600	453764	26	26
(4, 3, 0)	2	0	276251	318316	15	15
(3, 5, 0)	1	0	304199	231848	17	16
(5, 3, 0)	1	0	521768	859158	32	31
(3, 6, 0)	1	0	899846	735260	30	29
(6, 3, 0)	2	0	539064	516510	21	21
(3, 7, 0)	1	0	232786	155827	9	8
(7, 3, 0)	2	0	246582	470847	18	18
(3, 8, 0)	2	0	844535	745594	29	29
(8, 3, 0)	2	0	901027	813299	34	34
(3, 9, 0)	2	0	940656	817475	41	41
(9, 3, 0)	2	0	699342	682685	23	23
(3, 10, 0)	2	0	667393	191885	25	25
(10, 3, 0)	1	0	372944	911759	43	42
(3, 11, 0)	1	0	736258	317838	27	26
(11, 3, 0)	2	0	243342	347072	23	23
(4, 5, 0)	1	0	305669	285670	28	27
(5, 4, 0)	1	0	240827	182260	20	19
(4, 6, 0)	2	0	444539	681314	26	26
(6, 4, 0)	2	0	389471	248634	18	18
(4, 7, 0)	1	0	77732	87181	6	5
(7, 4, 0)	2	0	94548	183056	11	11
(4, 8, 0)	2	0	612264	839355	37	37
(8, 4, 0)	2	0	849365	565171	27	27
(4, 9, 0)	2	0	296302	615160	19	19
(9, 4, 0)	2	0	588123	203397	15	15
(4, 10, 0)	1	0	670764	480568	41	40
(10, 4, 0)	2	0	478756	692200	48	48
(4, 11, 0)	1	0	445742	341281	26	25
(11, 4, 0)	2	0	216404	304710	20	20
(5, 6, 0)	2	0	548955	686865	28	28
(6, 5, 0)	1	0	851992	733116	47	46
(5, 7, 0)	1	0	39751	83199	6	5
(7, 5, 0)	2	0	120496	92485	12	12
(5, 8, 0)	2	0	623556	844414	43	43
(8, 5, 0)	1	0	820266	627102	37	36
(5, 9, 0)	2	0	645617	783405	41	41
(9, 5, 0)	1	0	725016	619191	38	37
(5, 10, 0)	1	0	578028	440052	34	33
(10, 5, 0)	2	0	145880	158187	17	17
(5, 11, 0)	1	0	337171	304860	24	23
(11, 5, 0)	2	0	372469	587325	31	31
(6, 7, 0)	1	0	85200	83937	6	5
(7, 6, 0)	1	0	477028	800988	35	34
(6, 8, 0)	2	0	547838	559569	23	23
(8, 6, 0)	1	0	910623	893516	43	42
(6, 9, 0)	2	0	808362	662678	31	31
(9, 6, 0)	1	0	745047	559647	29	28
(6, 10, 0)	2	0	547370	181119	20	20
(10, 6, 0)	2	0	374722	850544	33	33
(6, 11, 0)	1	0	752302	395469	30	29
(11, 6, 0)	2	0	363272	642857	28	28
(7, 8, 0)	2	0	109182	287893	12	12
(8, 7, 0)	1	0	887376	770235	38	37
(7, 9, 0)	2	0	94058	465126	10	10
(9, 7, 0)	1	0	644903	436347	19	18
(7, 10, 0)	2	0	149660	18109	14	14
