(0, 1, 0)	1	0	143531	166001	41	40
(1, 0, 0)	1	0	37870	31787	11	10
(0, 2, 0)	1	0	21038	36223	18	17
(2, 0, 0)	2	0	66431	65077	25	25
(0, 3, 0)	1	0	25668	24445	17	16
(3, 0, 0)	2	0	53160	75211	21	21
(0, 4, 0)	2	0	59261	31755	17	17
(4, 0, 0)	1	0	20500	41997	13	12
(0, 5, 0)	1	0	92410	167237	40	39
(5, 0, 0)	2	0	140322	59249	24	24
(0, 6, 0)	2	0	166235	143748	49	49
(6, 0, 0)	2	0	135999	140221	47	47
(0, 7, 0)	1	0	26809	80516	15	14
(7, 0, 0)	1	0	78424	60770	20	19
(0, 8, 0)	2	0	169026	164909	44	44
(8, 0, 0)	2	0	165019	151557	47	47
(0, 9, 0)	1	0	69982	51111	26	25
(9, 0, 0)	2	4	32447	83220	20	20
(0, 10, 0)	1	0	34935	100791	17	16
(10, 0, 0)	2	0	139825	65710	26	26
(0, 11, 0)	1	0	49762	120359	17	16
(11, 0, 0)	2	0	90374	14822	11	11
(0, 12, 0)	2	0	32141	30475	14	14
(12, 0, 0)	2	0	119904	103401	30	30
(0, 14, 0)	1	0	70341	179833	24	23
(14, 0, 0)	2	0	37269	56414	25	25
(0, 23, 0)	1	0	9982	46782	13	12
(23, 0, 0)	2	0	107489	48943	20	20
(0, 39, 0)	2	0	120825	133014	32	32
(39, 0, 0)	1	0	132795	95346	25	24
(0, 40, 0)	2	0	149931	126637	36	36
(40, 0, 0)	2	0	99028	38863	13	13
(1, 2, 0)	2	0	58911	28252	14	14
(2, 1, 0)	2	0	149817	168035	61	61
(1, 3, 0)	2	0	76876	31073	14	14
(3, 1, 0)	2	0	48057	73103	17	17
(1, 4, 0)	2	0	82262	37810	17	17
(4, 1, 0)	2	0	58056	103363	23	23
(1, 5, 0)	1	0	121055	127780	26	25
(5, 1, 0)	2	0	97596	80895	24	24
(1, 6, 0)	1	0	106873	91411	25	24
(6, 1, 0)	2	0	64805	98798	20	20
(1, 7, 0)	2	0	67320	85428	15	15
(7, 1, 0)	2	0	82359	77019	18	18
(1, 8, 0)	1	0	74121	62444	18	17
(8, 1, 0)	2	0	132767	148161	28	28
(1, 9, 0)	1	0	57433	17722	16	15
(9, 1, 0)	2	0	17847	54496	11	11
(1, 10, 0)	1	0	100364	127504	21	20
(10, 1, 0)	2	0	122130	98544	24	24
(1, 11, 0)	2	0	169129	167501	49	49
(11, 1, 0)	2	0	144935	104086	20	20
(1, 12, 0)	1	0	130131	115811	27	26
(12, 1, 0)	2	0	17018	21489	8	8
(1, 23, 0)	1	0	90638	107334	17	16
(23, 1, 0)	2	0	77627	28141	14	14
(1, 39, 0)	2	0	113143	128346	24	24
(39, 1, 0)	1	0	87428	72955	18	17
(1, 40, 0)	2	0	137726	116583	29	29
(40, 1, 0)	1	0	146151	168061	53	52
