(0, 1, 0)	1	0	118926	67383	27	26
(1, 0, 0)	1	0	14392	33490	14	13
(0, 2, 0)	2	0	75943	59249	14	14
(2, 0, 0)	2	0	61066	26897	15	15
(0, 3, 0)	1	0	60475	95876	21	20
(3, 0, 0)	1	0	79191	84252	19	18
(0, 4, 0)	1	0	94263	107051	19	18
(4, 0, 0)	2	0	54986	59735	15	15
(0, 8, 0)	2	0	74256	85695	12	12
(8, 0, 0)	1	0	121663	151592	30	29
(0, 9, 0)	2	0	65237	9614	15	15
(9, 0, 0)	1	0	78399	113479	23	22
(1, 2, 0)	1	0	38454	57722	21	20
(2, 1, 0)	2	0	51340	23419	17	17
(1, 3, 0)	1	0	40529	89023	21	20
(3, 1, 0)	2	0	131630	120468	37	37
(1, 4, 0)	1	0	35778	95428	17	16
(4, 1, 0)	2	0	120080	81192	28	28
(1, 8, 0)	2	0	100961	141353	36	36
(8, 1, 0)	1	0	126359	82387	32	31
(1, 9, 0)	2	0	85174	82315	32	32
(9, 1, 0)	1	0	50293	60834	26	25
(2, 3, 0)	1	0	60176	79235	14	13
(3, 2, 0)	2	0	114440	123331	26	26
(2, 4, 0)	1	0	53126	74263	18	17
(4, 2, 0)	2	0	47499	33275	12	12
(2, 5, 0)	1	0	62636	86317	17	16
(5, 2, 0)	2	0	104815	74640	17	17
(2, 6, 0)	1	0	171322	171026	46	45
(6, 2, 0)	2	0	44323	55242	14	14
(2, 8, 0)	2	0	167307	147078	44	44
(8, 2, 0)	1	0	111085	83603	21	20
(2, 9, 0)	2	0	55983	19920	15	15
(9, 2, 0)	1	0	80059	129273	32	31
(3, 4, 0)	1	0	82902	100062	23	22
(4, 3, 0)	2	0	54814	66732	15	15
(3, 5, 0)	1	0	82090	95239	19	18
(5, 3, 0)	2	0	38326	34072	11	11
(3, 6, 0)	1	0	72259	51623	15	14
(6, 3, 0)	2	0	115166	110294	28	28
(3, 7, 0)	1	0	82265	112905	17	16
(7, 3, 0)	1	0	160318	149073	39	38
(3, 8, 0)	2	0	106828	104559	18	18
(8, 3, 0)	1	0	117236	112342	25	24
(3, 9, 0)	2	0	101609	75581	26	26
(9, 3, 0)	1	0	21472	83779	12	11
(4, 5, 0)	2	0	91729	88668	26	26
(5, 4, 0)	2	0	105031	57812	14	14
(4, 6, 0)	1	0	104558	44400	14	13
(6, 4, 0)	2	0	100264	146151	35	35
(4, 7, 0)	1	0	92554	89635	12	11
(7, 4, 0)	1	0	106613	100627	23	22
(4, 8, 0)	2	0	100819	121936	25	25
(8, 4, 0)	1	0	112941	99595	24	23
(4, 9, 0)	2	0	61221	36803	15	15
(9, 4, 0)	1	0	45274	75705	18	17
(5, 6, 0)	1	0	98950	64960	18	17
(6, 5, 0)	1	0	84128	98753	29	28
